,Unnamed: 0,facility,latitude,longitude,altitude,accuracy,kmfl_new,kmfl,nn?,keph_level,county,constituency,sub_county,ward,keph_level_new,Ownership,QQ2,Q2,QQ3,20km_to_level4,10km_to_level4,15km_to_level4,5km_to_level4,7_5km_to_level4,12_5km_to_level4,17_5km_to_level4
0,0,Kipyosit Dispensary,-0.765322,35.483308,2210.4,5.2,n_18526,n,18526,Level 2,Bomet,Bomet East,Bomet East,Kembu,Level 2,Government/Public entity,rural,Rural,Dispensary,0,0,0,0,0,0,0
1,1,Edris Premier Hospital Limited,-1.273968,36.850828,1635.0,17.844,n_25688,n,25688,Level 3,Nairobi,Kamukunji,Kamukunji,Airbase,Level 4,Private,rural,Rural,Hospital,0,0,0,0,0,0,0
2,2,Kenyatta National Hospital,-1.30055,36.806402,1714.599976,6.4,n_13023,n,13023,Level 6,Nairobi,Kibra,Kibra,Woodley/Kenyatta Golf Course,Level 6,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
3,3,Moi Teaching Refferal Hospital,0.511139,35.281996,2092.099854,14.24,n_15204,n,15204,Level 6,Uasin Gishu,Ainabkoi,Ainabkoi,Kapsoya,Level 6,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
4,4,Nairobi Hospital,-1.297099,36.804146,1727.900024,20.0,n_13110,n,13110,Level 5,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Level 5,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
5,5,Kenyatta University Teaching Refferal and Research Hospital,-1.177522,36.916375,1535.5,15.008,n_24979,n,24979,Level 6,Nairobi,Roysambu,Roysambu,Kahawa,Level 6,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
6,6,Nakuru Provincial General Hospital,-0.278031,36.072492,1853.599976,19.208,n_15288,n,15288,Level 5,Nakuru,Nakuru Town East,Nakuru West,London,Level 5,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
7,7,Coast General Teaching and Referral Hospital,-4.048828,39.67369,-8.3,11.824,n_11289,n,11289,Level 5,Mombasa,Mvita,Mvita,Tononoka,Level 5,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
8,8,MP Shah Hospital (Westlands),-1.264262,36.811479,1685.102051,4.064,n_13098,n,13098,Level 4,Nairobi,Westlands,Westlands,Parklands/Highridge,Level 4,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
9,9,Ndaragwa Health Centre,-0.056881,36.531606,2278.0,6.0,n_10829,n,10829,Level 3,Nyandarua,Ndaragwa,Ndaragwa,Central,Level 3,Government/Public entity,rural,Rural,Health Center,0,0,0,0,0,0,0
10,10,Nanyuki  Teaching and Referral  Hospital,0.020626,37.072683,1915.800049,5.266,n_15305,n,15305,Level 4,Laikipia,Laikipia East,Laikipia East,Nanyuki,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
11,11,Embu Level 5 Hospital,-0.524051,37.453312,1376.3,3.9,n_12004,n,12004,Level 5,Embu,Manyatta,Manyatta,Kirimari,Level 5,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
12,12,Mukurweini District Hospital,-0.562493,37.044685,1777.9,8.5,n_10763,n,10763,Level 4,Nyeri,Mukurweini,Mukurweini,Mukurwe-ini Central,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
13,13,Nyeri Provincial General Hospital (PGH),-0.426152,36.963335,1756.5,8.0,n_10903,n,10903,Level 5,Nyeri,Nyeri Town,Nyeri Central,Rware,Level 5,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
14,14,Aga Khan Hospital,-1.2623,36.82466,1659.5,23.319,n_12867,n,12867,Level 5,Nairobi,Westlands,Westlands,Parklands/Highridge,Level 5,Private,urban,Urban,Hospital,0,0,0,0,0,0,0
15,15,Mbagathi District Hospital,-1.30908,36.80396,1707.099976,14.511,n_13080,n,13080,Level 4,Nairobi,Kibra,Kibra,Woodley/Kenyatta Golf Course,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
16,16,Maragua District Hospital,-0.789559,37.127503,1343.900024,4.04,n_10686,n,10686,Level 4,Murang'a,Maragwa,muranga south,Nginda,Level 4,Government/Public entity,rural,Rural,Hospital,0,0,0,0,0,0,0
17,17,Thika Level 5 Hospital,-1.041647,37.078643,1488.700073,5.76,n_11094,n,11094,Level 5,Kiambu,Thika Town,Thika Town,Township,Level 5,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
18,18,KNH Othaya Annex,-0.542304,36.941264,1790.5,7.56,n_25045153,n,25045153,Level 6,Nyeri,Nyeri South,Nyeri South,Iria-ini,Level 6,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
19,19,Nyahururu District Hospital,0.038026,36.361778,2361.299805,3.12,n_10890,n,10890,Level 4,Laikipia,Laikipia West,Laikipia West,Igwamiti,Level 4,Government/Public entity,urban,Urban,Hospital,0,0,0,0,0,0,0
20,20,Aic Cure International Hospitals Westlands (Nairobi city),-1.262048,36.806893,1708.099976,19.165001,n_1811,n,1811,Level 2,Nairobi,,,Parklands Highridge,Level 2,Faith Based Organization,urban,Urban,Medical Clinic,0,0,0,0,0,0,0
21,21,Kiwa Laboratory,-0.790778,37.130407,1343.300049,20.0,n_20728,n,20728,Level 2,Murang'a,Maragwa,muranga south,Ichagaki,Level 2,Private,urban,Urban,other,0,0,0,0,0,0,0
22,22,Mbeyu Medical Centre Limited (Kilifi),-3.927545,39.569758,171.1,6.94,n_28608410,n,28608410,Level 2,Kilifi,,,Rabai,Level 2,Private,rural,Rural,Medical Center,0,0,0,0,0,0,0
23,23,Eastern Deanery Aids Relief Program Huruma Clinic,-1.257577,36.87393,1605.599976,11.6,n_12973,n,12973,Level 2,Nairobi,Mathare,Mathare,Huruma,Level 2,Faith Based Organization,urban,Urban,Health Center,0,0,0,0,0,0,0
24,24,Zuri Medical Clinic,-0.958892,37.082837,1537.8,2.933,n_24426,n,24426,Level 2,Murang'a,Kandara,Kandara,Muruka,Level 2,Private,rural,Rural,Medical Clinic,0,0,0,0,0,0,0
